Date,Entrée,Plat,Légumes,Laitage,Dessert,Gouter,Température,Humidité,Vitesse du vent moyen 10 mn,Attente moyenne
2024-01-01,Pâté de campagne et cornichons OU betteraves,Filet de lieu sauce crème,Petits pois,Fromage,Fruit de saison,Pain/ beurre/ corbeille de fruits/ lait ou fromage,7.40000000000003,87,3.2,15.1280357447068
2024-01-02,Œuf dur sauce aurore,Émincé de poule au pot sauce crème OU Nugget's végé*,Purée de pommes de terre,,Pain perdu,"Pain
Crème de gruyère
Compote pomme",16.4,64,2.3,0.0
2024-01-03,Salade de tomate/ concombre,Parmentier de légumes d'été,,,Timbale glacée,Pain/ beurre/ pêche/ lait,20.7,56,1.3,44.2438364520825
2024-01-04,"Salade bicolore (choux rouge, blanc, pomme, raisin)",Filet de lieu dugléré,Riz créole/ poëlée de légumes,Fromage,Compote tous fruits,Pain/ beurre/ corbeille de fruits/ lait ou fromage,12.0,84,3.3,0.0
2024-01-05,Saucisson à l'ail/ cornichons OU macédoine de légumes,Filet de saumon,Gratin d'épinards panaché,,Banane équitable,Pain/ beurre/ corbeille de fruits/ lait ou fromage,21.3,59,4.6,0.0
2024-01-06,"Carottes Floride (carotte, jus d'orange)",Lasagnes de bœuf,Salade verte,Yaourt à la pulpe de fruits,,Pain/ beurre/ barre chocolatée/ lait,12.6,53,1.1,0.0
2024-01-07,Betteraves au miel,Couscous de légumes,,Yaourt,,"Pain / beurre
Compote de pomme
Lait",17.2,91,4.7,15.5468753515756
2024-01-08,Carottes chinoises,Porc au caramel OU Sauté de dinde OU Aiguillette de blé carotte *,Riz cantonais,,Moelleux mandarine,Pain / beurre / orange / lait,3.90000000000003,82,4.8,7.52528594593568
2024-01-09,"Salade de blé, tomates et maïs",Jambon braisé froid OU rôti de dinde,Julienne de légumes d'été,Petits suisses,Fruit de saison,Pain/ beurre/ corbeille de fruits/ lait ou fromage,21.8,63,7.7,7.52020823292842
2024-01-10,Potage de lègumes,Bolognaise végétale,Coquillettes,Fromage,Fruit de saison,"Pain / beurre
Barre chocolatée
Lait",5.80000000000001,58,1.9,17.3509240488778
